sigla, unidad_curricular, curso_modulo
GM-3M, Gerenciamento de Manutenção, 3° Mecânica Presencial
PM-3M, Prática de Manutenção, 2° Mecânica Presencial
FTMII-1EST, Fundamentos da Tecnologia Mecânica II, 1° Téc Eletromecânica EAD - Sexta
SST-FM, Saúde e Segurança no Trabalho, APB Ferramenteiro de Manutenção 
PM-3B, Processos de Manufatura , NEM 3° b
GI6, Gestão Industrial, OPP - Turma 6
SST6, Saúde e Segurança do Trabalho, OPP - Turma 6
MAT6, Matemática, OPP - Turma 6
PFM-AP, Introdução a Corte/Soldagem e Conformação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
LUB-T1T, LUBRIFICAÇÃO  - Turma 1 - tarde, Treinamento - LG -
TCNC2, Programação e Operação de Torno CNC, Torno CNC - Turma 2
TOR3, Torneiro Mecânico, Torneiro Mecânico - Turma 3 - Prefeitura
PFM-2M, Processos de Fabricação Mecânica, 2° Téc Mecânica EAD - Terça
WK , Treinamento wordskills, CNC
FMMM-JK, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
TF1, Tecnologia da Ferramenta, Ferramentaria de Estampos - Turma 1
CAD1, Projeto de Estampos em CAD, Ferramentaria de Estampos - Turma 1
PP1, Prática Profissional, Ferramentaria de Estampos - Turma 1
MPP2Q, Monitoramento de Processos e Produtos (APP), 2° Qualidade EAD - Segunda
PBFM1MT, Processos Básicos de Fabricação Mecânica, 1° Téc Mecânica EAD - Terça
REPPBFM, Processos Básicos de Fabricação Mecânica - Reposição, 1° Téc. Mecânica
REPCP, Planejamento e Controle da Produção - Reposição, 2° Téc. Mecânica
FA2, Ferramentaria Avançada, Ferramentaria Avançada - Turma 1
TF2, Tecnologia da Ferramenta, Ferramentaria de Estampos - Turma 2
CAD2, Projeto de Estampos em CAD, Ferramentaria de Estampos - Turma 2
PP2, Prática Profissional, Ferramentaria de Estampos - Turma 2
TCNC1, Programação e Operação de Torno CNC, Torno CNC - Turma 1
PCNC-OS, Programação CNC, 3° Ferramenteiro de Dispositivos - OneSubsea
TOR2M, Tornearia Convencional, 2° Téc Mecânica Presencial
FRE2M, Fresagem Convencional, 2° Téc Mecânica Presencial
PCP-2M, Planejamento e Controle da Produção, 2° Téc Mecânica EAD - Terça
MET4, Metrologia, OPP - Turma 4
LID4, Leitura e Interpretação de Desenho , OPP - Turma 4
FTMI-1ESA, Fundamentos da Tecnologia Mecânica I, 1° Téc Eletromecânica EAD - Sábado
FORMS, Boas Práticas - Forms , Treinamento
PIMI-G, Projeto de Inovação Mecânica I, 3° APT Mecânica Gestamp
IFM-1EST, Introdução a Fabricação Mecânica, 1° Téc Eletromecânica EAD - Sexta
FA-1N, Física Aplicada, 1° Téc Mecânica Presencial
MCM-1N, Materiais de Construção Mecânica, 1° Téc Mecânica Presencial
FT-1N, Fundamentação Teórica, 1° Téc Mecânica Presencial
PCM-3ES, Planejamento e Controle da Manutenção, 3° Eletromecânica EAD - Sábado
TMAT4, Tecnologia dos Materiais, OPP - Turma 4
FPP1, Fundamentos para o Processamento de Polímeros , Operação de Máquinas Injetoras
FTP1, Fundamentos de Tecnologia do Plástico, Operação de Máquinas Injetoras
OMII1, Operação de Máquinas Injetoras, Operação de Máquinas Injetoras
MET6, Metrologia , OPP - Turma 6
LID6, Leitura e Interpretação de Desenho , OPP - Turma 6
TMAT6, Tecnologia dos Materiais, OPP - Turma 6
TMEC6, Tecnologia Mecânica, OPP - Turma 6
LID-AMI2, Leitura e Interpretação de Desenho Técnico, Aux Mec Ind 2 - Prefeitura
PRA-AMI2, Prática , Aux Mec Ind 2 - Prefeitura
MCF-FM, Mat. Construção Ferramentas , Ferramenteiro de Manutenção
UC1, Leitura e Comunicação, 1° Ferramenteiro de Dispositivos - OneSubSea
UC7, Relações SócioProfissionais Cidadania e ètica, 1° Ferramenteiro de Dispositivos - OneSubSea
MSM-2ES, Montagem de Sistemas Mecânicos, 2° Eletromecânica Segunda Noite
TMEC3, Tecnologia de Materiais , OPP 3
MSM-2E, Montagem de Sistemas Mecânicos, 2° Eletromecânica EAD - Sábado
CADII-OS, Projeto de Ferramentas e Dispositivos em CAD II , 3° Ferramenteiro de Dispositivos - OneSubsea
FORMS, Boas Práticas - Forms , Treinamento
PFM-AP, Processo de Fabricação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FMMM-JK, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
FMDEP, Fundamentos Mecânicos  - Dependencia Alessandro, 1° Eletromecânica
SAEPO4E, SAEP - PROVA OBJETIVA, ELETROMECANICA
SAEPP4E, SAEP - PROVA PRATICA, ELETROMECANICA
OPPM, Otimização dos Processos de Produção Mecânica, Técnico em Mecânica 2º MÓDULO
FTM-AP, Fundamentos da Tecnologia Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
ICSCM-AP, Processos de Fabricação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
PFM-AP, Introdução a Corte/Soldagem e Conformação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FTM-JK, Fundamentos da tecnologia mecânica, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
ICSCM-JK, Introdução a corte/soldagem e conformação mecânica, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
FMMM-JK, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
RECF-JK, Recuperação Final, Téc Eletromecânica 2° Ano Itinerário V - Juscelino
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
OMOC-FM, Operação de Máquinas Operatrizes Convencionais, 1° Ferramenteira de Manutenção
WK , Treinamento Wordskills, Manutenção e solda
RA, Uso de Recursos Visuais, Treinamento Professores Argus
AP, Apresentações , Treinamento Professores Argus
IQP-AP, Introdução a Qualidade e Produtividade, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
ITICI4.0-AP, Introdução a Tecnologia da Informação/Comunicação e Indústria  4.0, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
RLAD-TAB, Raciocinio Logico e Analise de Dados , APB Assistente Administrtaivo Seg e Ter- Turma Abril
PV-3A, Projeto de Vida - Autoconhecimento , Téc Linguagens - 3° A - Itinerário V 
PV-3D, Projeto de Vida - Autoconhecimento , Téc Desen. Sistemas - 3° D - Itinerário V 
PV-3B, Projeto de Vida - Autoconhecimento , Téc Mecatrônica - 3° B - Itinerário V 
PV-3C, Projeto de Vida - Autoconhecimento , Téc Automação - 3° C - Itinerário V 
PV-3E, Projeto de Vida - Autoconhecimento , Téc Linguagens - 3° E - Itinerário V 
PV-3F, Projeto de Vida - Autoconhecimento , Téc Desen. Sistemas - 3° F - Itinerário V 
GP-TP, Gestão de Pessoas, APB Assistente Administrativo - Quarta e Sexta
POT-ME, Planejamento e Organização do Trabalho, APB Assistente Administrativo - Seg e Ter
IIW-AI2, Introdução à Informática Windows, Aux Info 2
LGP-BOT, Liderança e Gestão de Pessoas, Boticário
RI-AA2, Relações Interpessoais, Aux Adm 2
SST-AA2, Saúde e Segurança no Trabalho, Aux Adm 2
ET-AA2, Ética e cidadania, Aux Adm 2
MA-AA2, Meio ambiente, Aux Adm 2
LP-AA2, Língua Portuguesa, Aux Adm 2
ITTA-AA2, Interpretação de Textos Técnicos e Administrativos, Aux Adm 2
IQP-AP, Introdução a Qualidade e Produtividade, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
ITICI4.0-AP, Introdução a Tecnologia da Informação/Comunicação e Indústria  4.0, Téc Mecânica - 1° Ano - Itinerário V - Afonso Pena
PV-3A, Projeto de Vida - Autoconhecimento , Téc Linguagens - 3° A - Itinerário V 
PV-3D, Projeto de Vida - Autoconhecimento , Téc Desen. Sistemas - 3° B - Itinerário V 
PV-3B, Projeto de Vida - Autoconhecimento , Téc Mecatrônica - 3° C - Itinerário V 
PV-3C, Projeto de Vida - Autoconhecimento , Téc Automação - 3° D - Itinerário V 
PV-3E, Projeto de Vida - Autoconhecimento , Téc Linguagens - 3° E - Itinerário V 
PV-3F, Projeto de Vida - Autoconhecimento , Téc Desen. Sistemas - 3° F - Itinerário V 
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
FQ-BOT, Ferramentas da, Boticário
IIW-AI2, Introdução à Informática Windows, Aux Info 2
CAD-1N, CAD - Fundamentos da Tecnologia Mecânica II, 1° Téc Mecânica Presencial
AT1, Ajustagem e Torneiro Mecânico, Ajustagem e Torneiro Mecânico - Turma 1
TOR2, Torneiro Mecânico, Torneiro Mecânico - Turma 2 - Prefeitura
AT3, Ajustagem e Torneiro Mecânico, Ajustagem e Torneiro Mecânico - Turma 3
PFM-2M, Processos de Fabricação Mecânica, 2° Téc Mecânica EAD - Terça
CAD-1N, CAD - Fundamentos da Tecnologia Mecânica II, 1° Téc Mecânica Presencial
AT1, Ajustagem e Torneiro Mecânico, Ajustagem e Torneiro Mecânico - Turma 1
TOR2, Torneiro Mecânico, Torneiro Mecânico - Turma 2 - Prefeitura
AT3, Ajustagem e Torneiro Mecânico, Ajustagem e Torneiro Mecânico - Turma 3
PFM-2M, Processos de Fabricação Mecânica, 2° Téc Mecânica EAD - Terça
AJ2, Ajustagem, Ajustagem - Turma 2 - Prefeitura
AT6, Ajustagem e Torneiro Mecânico, Ajustagem e Torno  - Turma 6
AT8, Ajustagem e Torneiro Mecânico, Ajustagem e Torno  - Turma 8
PFM-2M, Processos de Fabricação Mecânica, 2° Téc Mecânica EAD - Terça
CAD-1N, CAD - Fundamentos da Tecnologia Mecânica II, 1° Téc Mecânica Presencial
FE-1M, Fundamentos de Eletroeletrônica, 1 ° Mecatrônica Presencial
LP-1MN, Lógica de Programação, 1 ° Mecatrônica Presencial
ITIC-VW, Introdução a Tecnologia da Informação e Comunicação, APT 1° Mecatrônica - VW
IDP-VW, Introdução ao Desenvolvimento de Projetos , APT 1° Mecatrônica - VW
II-VW, Introdução a Indústria 4.0, APT 1° Mecatrônica - VW
SPI-VW, Sustentabilidade nos Processos Industriais, APT 1° Mecatrônica - VW
IQP-VW, Introdução a Qualidade e Produtividade, APT 1° Mecatrônica - VW
SST-VW, Saúde e Segurança no Trabalho, APT 1° Mecatrônica - VW
PCLPB1, Programação CLP - Básico , Programação CLP - Turma 2
AE-2AT, Acionamentos Eletroeletrônicos, 2° Téc. Automação EAD- Terça
SST-TJUN, Saúde e Segurança no Trabalho, APB Assistente Administrativo - Turma Junho
TC-4A, Técnicas de Controle, 4° Téc Automação EAD - Sábado
IVF1, Inversores de Frequência, Inversores de Frequência - Mais Qualificação
LP-1MN, Lógica de Programação, 1 ° Mecatrônica Presencial
CIPI-1M, Criatividade e Ideação em Projetos de Inovação, 1 ° Mecatrônica Presencial
FC-AEP1, Formação Cidadã, Auxiliar de Eletricista Industrial / Prefeitura
FP-AEP1, Formação Profissional, Auxiliar de Eletricista Industrial / Prefeitura
DEPIC, Instrumentação e Controle – 20h presenciais - Dependência, 3° Téc. Automação
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
RSCE-GMJ, Relações socioprofissionais/cidadania e ética, APB Assistente Administrativo - Guarda Mirim
FEA-1DSQ, Fundamentos da Eletroeletrônica Aplicada, 1° Desenvolvimento de Sistemas Quarta Noite
EASAI-1AQ, Eletrônica Aplicada à Sistemas Automatizados , 1° Automação EAD - Quinta Noite
IVF1, Inversores de Frequência, Inversores de Frequência - Mais Qualificação
REPIA, Instrumentação Analítica – 2 alunos para reposição de 4h, 2° Téc. Automação
DEPSLP, Sistemas Lógicos Programáveis – 32h – 2 alunos para cursar como DP - (preferência aos sábados), 4° Automação
MVFI-2AS, Medição de Variáveis Físicas Industriais, 2° Téc Automação - Segunda Noite
FI-1AUT, Fundamentos da Instrumentação, 1° Téc. Automação
SLP-3MN, Sistemas Lógicos Programáveis, 3° Téc Mecatrônica - Presencial
SEE-2AT, Sistemas Eletrohidráulicos e Eletropneumáticos, 2° Automação - tarde
SEM-2AT, Sistemas Eletrônicos e Microcontrolados, 2° Automação - tarde
MSE-2ES, Montagem de Sistemas Elétricas, 2° Téc Eletromecânica - Segunda Noite
MSE-2ES, Montagem de Sistemas Eletricas, 2° Téc Eletromecânica - Sexta Tarde
WK , Treinamento Wordskills, Elétrica
ICLP-3MT, Introdução a Controladores Lógicos Programáveis, 3° Mecânica EAD - Terça Noite
EASAII-2AS, Eletrônica Aplicada à Sistemas Automatizados, 2° Automação EAD - Segunda Noite
